id,name,client_type,total_assets_under_management,investment_horizon,investment_goal,risk_tolerance
91,"Schamberger, Zboncak and Muller",Hedge Fund,1950000000,2,Income Generation,Low
92,Zulauf-Dietrich,Institutional,570000000,8,Capital Preservation,Low
93,Daniel-Shields,Family Office,660000000,10,Income Generation,Low
94,"Bruen, Macejkovic and Olson",Family Office,90000000,9,Risk Management,Medium
95,"Balistreri, McDermott and Schmitt",Private Equity Firm,900000000,9,Risk Management,Low
96,Gutmann Inc,High Net Worth Individual,1000000000,6,Income Generation,Low
97,Wolff LLC,Family Office,1990000000,2,Risk Management,High
98,Will and Sons,Hedge Fund,350000000,9,Income Generation,Low
99,Zboncak and Sons,Private Equity Firm,470000000,6,Income Generation,Medium
100,Thompson-Nikolaus,Family Office,350000000,5,Risk Management,Low
101,"Von, Rutherford and Feeney",Family Office,150000000,3,Income Generation,Medium
102,Durgan-Schimmel,Family Office,70000000,7,Income Generation,Low
103,Friesen-Leuschke,Family Office,680000000,8,Capital Appreciation,High
104,Klein-Harber,High Net Worth Individual,1170000000,6,Capital Preservation,Medium
105,"Hirthe, Ritchie and Hane",High Net Worth Individual,630000000,9,Income Generation,High
106,Kunde Inc,Family Office,20000000,10,Income Generation,High
107,"Cronin, Skiles and Wiegand",Institutional,1450000000,1,Capital Appreciation,Medium
108,Wehner-Goldner,Hedge Fund,820000000,9,Risk Management,High
109,Konopelski LLC,Family Office,200000000,2,Capital Appreciation,High
110,Watsica-Hagenes,Private Equity Firm,1900000000,6,Risk Management,Medium
111,Schultz-Goyette,Private Equity Firm,1190000000,2,Capital Preservation,Medium
112,"Bruen, Koepp and Cruickshank",High Net Worth Individual,960000000,3,Risk Management,Medium
113,"Koepp, Hartmann and Abernathy",Private Equity Firm,730000000,2,Capital Appreciation,Medium
114,Larkin-Jerde,Private Equity Firm,1530000000,8,Capital Appreciation,High
115,Harvey-Kirlin,Hedge Fund,870000000,5,Capital Preservation,High
116,Oberbrunner LLC,Hedge Fund,250000000,9,Capital Preservation,Medium
117,Carroll-Roob,Family Office,1220000000,9,Capital Appreciation,Medium
118,"Douglas, Bayer and Satterfield",Family Office,1970000000,3,Risk Management,Low
119,Berge-Bergnaum,Family Office,40000000,6,Income Generation,Low
120,Balistreri-Jones,Institutional,90000000,10,Capital Appreciation,Medium
121,"Metz, King and Lemke",Hedge Fund,650000000,6,Capital Preservation,Low
122,Paucek-Feeney,Family Office,270000000,6,Risk Management,Low
123,"Bauch, Lueilwitz and Hoppe",Family Office,820000000,4,Risk Management,Medium
124,"Gibson, Schmidt and Becker",High Net Worth Individual,940000000,4,Capital Appreciation,Low
125,"Green, Borer and Hane",Institutional,1160000000,6,Capital Appreciation,Low
126,Tremblay Inc,Private Equity Firm,220000000,9,Capital Preservation,Low
127,Bogan-Daugherty,Hedge Fund,610000000,10,Capital Preservation,Medium
128,"Krajcik, Nikolaus and Kiehn",Institutional,610000000,9,Income Generation,Medium
129,Hamill Inc,High Net Worth Individual,980000000,3,Capital Preservation,Medium
130,"Hoeger, Mitchell and Greenfelder",Family Office,250000000,9,Capital Appreciation,High
131,Lehner-Sanford,Hedge Fund,580000000,8,Risk Management,Medium
132,"Friesen, Gerhold and Conroy",High Net Worth Individual,150000000,3,Capital Appreciation,Medium
133,Steuber Group,Institutional,370000000,8,Capital Appreciation,Low
134,Fadel-Flatley,Institutional,250000000,9,Capital Preservation,Medium
135,"Kuhn, Kerluke and Klein",Institutional,390000000,5,Income Generation,High
136,Leuschke-Cummings,Private Equity Firm,1310000000,3,Income Generation,High
137,Rice Group,Private Equity Firm,380000000,7,Capital Preservation,High
138,Beer-Wunsch,Hedge Fund,1330000000,10,Capital Appreciation,Low
139,"Rosenbaum, Zulauf and Strosin",Family Office,280000000,8,Capital Appreciation,Medium
140,Nader LLC,Family Office,1160000000,7,Risk Management,Medium
141,Wilderman-Robel,Family Office,1550000000,1,Income Generation,Medium
142,"Stracke, Pagac and Berge",Private Equity Firm,380000000,8,Capital Appreciation,High
143,Gorczany-Will,Private Equity Firm,1120000000,4,Risk Management,High
144,"Koelpin, Stamm and Crist",Hedge Fund,130000000,3,Risk Management,Low
145,"Gerhold, Cormier and Fisher",Family Office,1750000000,8,Risk Management,Low
146,Pfeffer-Simonis,Family Office,950000000,1,Income Generation,Low
147,King-Volkman,Institutional,920000000,7,Capital Preservation,High
148,Kshlerin-Feest,Family Office,1890000000,3,Capital Appreciation,Medium
149,"Kshlerin, Reichel and Johnson",Institutional,790000000,5,Capital Preservation,Low
150,Paucek-Wisozk,Institutional,850000000,6,Capital Appreciation,High
151,Kub LLC,Institutional,140000000,10,Capital Appreciation,Low
152,"Padberg, MacGyver and Herman",Hedge Fund,610000000,7,Risk Management,Medium
153,Medhurst Inc,High Net Worth Individual,650000000,5,Risk Management,Low
154,Kassulke Inc,High Net Worth Individual,570000000,5,Income Generation,Low
155,Crona LLC,Hedge Fund,1600000000,7,Income Generation,Medium
156,Fisher Group,High Net Worth Individual,560000000,1,Capital Appreciation,Low
157,Nienow Group,Hedge Fund,870000000,4,Income Generation,Low
158,Buckridge-Zieme,High Net Worth Individual,1930000000,1,Risk Management,High
159,Hirthe Inc,Private Equity Firm,1980000000,5,Capital Preservation,Low
160,McCullough and Sons,Institutional,710000000,1,Income Generation,Medium
161,Farrell Group,High Net Worth Individual,730000000,10,Income Generation,Low
162,"Tremblay, McClure and Ruecker",Hedge Fund,30000000,9,Capital Preservation,High
163,Hilpert-Flatley,Institutional,210000000,7,Capital Preservation,Medium
164,Kozey and Sons,Private Equity Firm,170000000,5,Capital Appreciation,Medium
165,"Aufderhar, Baumbach and Kshlerin",Institutional,1930000000,3,Income Generation,High
166,"Schaefer, Schmeler and Morar",High Net Worth Individual,360000000,4,Income Generation,High
167,Turcotte-Lehner,Private Equity Firm,160000000,7,Risk Management,High
168,Lowe and Sons,Hedge Fund,1460000000,1,Income Generation,Low
169,Legros-Gusikowski,Family Office,970000000,6,Risk Management,Low
170,Koelpin-Schmeler,Family Office,1080000000,10,Capital Preservation,Low
171,"VonRueden, Ratke and Murray",Private Equity Firm,1180000000,8,Capital Preservation,Medium
172,Maggio Inc,Family Office,1880000000,10,Capital Preservation,Medium
173,Mertz LLC,Private Equity Firm,1620000000,9,Capital Appreciation,High
174,Schuppe Group,Institutional,200000000,1,Capital Preservation,High
175,Batz-Wuckert,Private Equity Firm,620000000,8,Income Generation,High
176,Zboncak-Reichel,Institutional,1100000000,3,Income Generation,High
177,Farrell-Friesen,Institutional,720000000,6,Risk Management,Low
178,Schaefer and Sons,High Net Worth Individual,1240000000,5,Capital Preservation,Medium
179,Collins-Volkman,Private Equity Firm,510000000,7,Capital Appreciation,Low
180,Bosco Group,Private Equity Firm,1100000000,1,Capital Preservation,Low
181,Wunsch-Willms,Private Equity Firm,380000000,5,Income Generation,Medium
182,"Robel, Schoen and Berge",Private Equity Firm,310000000,7,Risk Management,High
183,Collier-Romaguera,Family Office,460000000,7,Risk Management,Low
184,Hartmann Inc,Hedge Fund,690000000,5,Capital Appreciation,Medium
185,Pfeffer-Stamm,Family Office,820000000,4,Risk Management,Low
186,Botsford and Sons,Hedge Fund,1960000000,5,Capital Appreciation,Medium
187,"Gleichner, Ruecker and O'Kon",High Net Worth Individual,420000000,4,Capital Appreciation,Medium
188,"Beatty, Bins and Kohler",High Net Worth Individual,30000000,3,Risk Management,Medium
189,Feeney Group,High Net Worth Individual,760000000,5,Capital Appreciation,Low
190,"Batz, Deckow and Rippin",Private Equity Firm,1690000000,7,Risk Management,Medium
191,"Rippin, Erdman and Luettgen",Family Office,240000000,6,Income Generation,High
192,Runte-Crist,High Net Worth Individual,470000000,8,Income Generation,High
193,Schmeler-Prohaska,High Net Worth Individual,790000000,6,Capital Appreciation,Low
194,Nikolaus-Purdy,Private Equity Firm,480000000,8,Capital Appreciation,Low
195,Kshlerin-Douglas,Institutional,270000000,6,Risk Management,Low
196,Beatty-Windler,Institutional,1700000000,1,Capital Preservation,Medium
197,Olson-Hand,Family Office,690000000,2,Risk Management,Low
198,Prohaska-Lynch,High Net Worth Individual,470000000,9,Capital Appreciation,High
199,Walter-Jast,Family Office,340000000,6,Risk Management,Medium
200,Collier and Sons,Private Equity Firm,410000000,8,Risk Management,Medium
201,"Gislason, Brakus and West",Family Office,1240000000,6,Income Generation,High
202,Stamm and Sons,Institutional,1600000000,2,Income Generation,Low
203,Reinger and Sons,Family Office,800000000,4,Income Generation,High
204,"Crona, McDermott and Hodkiewicz",Private Equity Firm,1060000000,2,Capital Preservation,Low
205,Homenick-Blanda,High Net Worth Individual,210000000,3,Capital Preservation,High
206,"Schneider, Jenkins and Ernser",Private Equity Firm,1180000000,9,Capital Preservation,Low
207,Daugherty Group,Hedge Fund,290000000,5,Capital Appreciation,Medium
208,Mueller LLC,High Net Worth Individual,910000000,5,Risk Management,Medium
209,"Koelpin, McGlynn and Swift",Private Equity Firm,190000000,2,Income Generation,Medium
210,"Towne, Sporer and Weissnat",Private Equity Firm,720000000,1,Capital Appreciation,Medium
